emp_no,first_name,last_name,dept_name,dept_no
10053,Sanjiv,Zschoche,Sales,d007
10088,Jungsoon,Syrzycki,Sales,d007
10215,Xiaobin,Duclos,Sales,d007
10355,Satyanarayana,Cochrane,Sales,d007
10463,Ung,Zaiane,Sales,d007
10504,Xiong,Varker,Sales,d007
10548,Ramalingam,Gunderson,Sales,d007
10767,Monique,Doering,Sales,d007
10795,Supot,Naudin,Sales,d007
10836,Jianhua,Leivant,Sales,d007
10878,Lakshmi,Deville,Sales,d007
10924,Hironoby,Atchley,Sales,d007
10965,Eckart,Braunschweig,Sales,d007
11009,Alper,Axelband,Sales,d007
11048,Jaques,Demke,Sales,d007
11146,Ishfaq,Masand,Sales,d007
11197,Tadahiro,Fordan,Sales,d007
11338,Kwangsub,Hanratty,Sales,d007
11441,Marlo,Aingworth,Sales,d007
11506,Rance,Picel,Sales,d007
11515,Ulf,Basawa,Sales,d007
11537,DAIDA,Pehl,Sales,d007
11567,Teiji,Mitzlaff,Sales,d007
11615,Shem,Isaak,Sales,d007
11660,Gill,Stenning,Sales,d007
11696,Dante,Rothe,Sales,d007
11746,Koichi,Marrakchi,Sales,d007
11797,Chenxi,Thambidurai,Sales,d007
11817,Niranjan,Markovitch,Sales,d007
11857,Divier,Farrag,Sales,d007
11897,Cordelia,Setlzner,Sales,d007
12011,Zhilian,Coorg,Sales,d007
12036,Mads,Ratzlaff,Sales,d007
12076,Karlis,Siprelle,Sales,d007
12082,Xinan,Yamaashi,Sales,d007
12099,Nobuyoshi,Kuzuoka,Sales,d007
12149,Suebskul,Grandbois,Sales,d007
12373,Mooi,Driscoll,Sales,d007
12399,Mihalis,Luga,Sales,d007
12411,Shao,Ibel,Sales,d007
12454,Kerryn,Farris,Sales,d007
12464,Shai,Milicic,Sales,d007
12497,Stein,Penz,Sales,d007
12541,Shih,Nanard,Sales,d007
12651,Pragnesh,Bael,Sales,d007
12664,Zhonghua,Parveen,Sales,d007
12732,Mara,Takanami,Sales,d007
12790,Gunilla,Perl,Sales,d007
12798,Lillian,Beeson,Sales,d007
12803,Gad,Boissier,Sales,d007
12872,Marl,Schmittgen,Sales,d007
12890,Neven,Casley,Sales,d007
12893,Licheng,Crouzet,Sales,d007
13075,Rosella,Morrin,Sales,d007
13124,Quingbo,Garnick,Sales,d007
13146,Haldon,Erie,Sales,d007
13147,Shichao,Ginesta,Sales,d007
13173,Arve,Horswill,Sales,d007
13179,Moty,Janocha,Sales,d007
13186,Kyoichi,Barbanera,Sales,d007
13210,Jianhua,Klassen,Sales,d007
13213,Hein,Billawala,Sales,d007
13238,Ebru,Foote,Sales,d007
13392,Fumitake,Beidas,Sales,d007
13405,Randy,Baba,Sales,d007
13524,Chaoyi,Porotnikoff,Sales,d007
13605,Dmitry,Encarnacion,Sales,d007
13680,Denny,Speer,Sales,d007
13721,Sugwoo,Delgrossi,Sales,d007
13769,Yakichi,Trogemann,Sales,d007
13775,Arve,Maierhofer,Sales,d007
13786,Takushi,Berendt,Sales,d007
13951,Mooi,Genther,Sales,d007
14310,Marlo,Leuchs,Sales,d007
14354,Mong,Bojadziev,Sales,d007
14478,Munehiro,Boissier,Sales,d007
14513,Samphel,Barreiro,Sales,d007
14516,Kristian,Underwood,Sales,d007
14607,Suzette,Selvestrel,Sales,d007
14621,Souichi,Wixon,Sales,d007
14639,Arvind,Hempstead,Sales,d007
14648,IEEE,Lorys,Sales,d007
14888,Temple,Barriga,Sales,d007
